19,Quantity and Size:1,"4"" x 4"" Sheet  10 Pcs",37.40,,1,1
19,Quantity and Size:1,"3/4"" x 12"" Rope  5 Pcs",49.85,,,1
20,Quantity and Size:1,"2"" x 2""  10 Pcs",46.20,,,1
20,Quantity and Size:1,"2"" x 2""  each",6.93,,1,1
20,Quantity and Size:1,"4"" x 4""  10 Pcs",81.20,,,1
20,Quantity and Size:1,"4"" x 4""  each",12.18,,,1
20,Quantity and Size:1,"6"" x 6""  5 Pcs",84.00,,,1
20,Quantity and Size:1,"6"" x 6""  each",25.20,,,1
21,Quantity and Size:1,"2"" x 2""  5 Pcs",15.65,,,1
21,Quantity and Size:1,"2"" x 2""  each",4.70,,1,1
21,Quantity and Size:1,"4"" x 8""  5 Pcs",60.12,,,1
21,Quantity and Size:1,"4"" x 8""  each",18.04,,,1
22,Quantity and Size:1,"2"" x 2""  10 Pcs",22.75,,,1
22,Quantity and Size:1,"2"" x 2""  each",3.41,,1,1
22,Quantity and Size:1,"4.25"" x 4.25"" Sheet 10 Pcs",41.70,,,1
22,Quantity and Size:1,"4.25"" x 4.25"" Sheet  each",6.26,,,1
22,Quantity and Size:1,"3/4"" x 12"" Rope 5 Pcs",32.65,,,1
22,Quantity and Size:1,"3/4"" x 12"" Rope  each",9.80,,,1
23,Quantity and Size:1,"2"" x 2""  10 Pcs",14.00,,,1
23,Quantity and Size:1,"2"" x 2""  each",2.10,,1,1
23,Quantity and Size:1,"4"" x 4 ""  10 Pcs",18.00,,,1
23,Quantity and Size:1,"4"" x 4 ""  each",2.70,,,1
23,Quantity and Size:1,"4"" x 4.75""  10 Pcs",20.00,,,1
23,Quantity and Size:1,"4"" x 4.75""  each",3.00,,,1
23,Quantity and Size:1,".75"" X 12"" rope  5 Pcs",3.80,,,1
23,Quantity and Size:1,".75"" X 12"" rope  each",12.68,,,1
25,Quantity and Size:1,"4"" x 4"" 10 Pcs",43.30,,,1
25,Quantity and Size:1,"4"" x 4""  each",6.50,,1,1
25,Quantity and Size:1,"3/4"" X 12"" Rope  5 Pcs",29.30,,,1
26,Quantity and Size:1,8 oz. refillable trigger spray 1/bottle,11.00,,1,1
26,Quantity and Size:1,8 oz. refillable trigger spray 12/case,130.00,,,1
26,Quantity and Size:1,12 oz. refillable trigger spray 1/bottle,14.00,,,1
26,Quantity and Size:1,12 oz. refillable trigger spray 12/case,166.00,,,1
26,Quantity and Size:1,16 oz. dispenser cap 1/bottle,13.00,,,1
26,Quantity and Size:1,16 oz. dispenser cap 12/case,153.00,,,1
27,Quantity and Size:1,12 6 oz. bottles/case,180.00,,1,1
28,Quantity and Size:1,"2"" x 2""  3 Pcs",25.50,,1,1
29,Quantity and Size:1,"2"" x 2""  12 Pcs",64.30,,,1
29,Quantity and Size:1,"2"" x 2""  each",8.37,,1,1
30,Quantity and Size:1,"4.34"" x 4.34""  10 Pcs",122.95,,,1
30,Quantity and Size:1,"4.34"" x 4.34""  each",18.44,,1,1
31,Quantity and Size:1,4.34 sq. in.  10 Pcs,149.98,,,1
31,Quantity and Size:1,4.34 sq. in.  each,22.50,,1,1
32,Quantity and Size:1,1 gr. each  Qty: 5 Singles,68.00,,1,1
32,Quantity and Size:1,1 gr. each  10 Pcs,136.00,,,1
33,Quantity and Size:1,"4"" x 4""  10 Pcs",24.65,,1,1
33,Quantity and Size:1,"6"" x 6""  10 Pcs",30.80,,,1
34,Quantity and Size:1,"2.5"" x 3"" (1.5"" x 2"" pad) 60 Pcs",17.90,,,1
34,Quantity and Size:1,"2.5"" x 3"" (1.5"" x 2"" pad)  10 pc",4.47,,1,1
34,Quantity and Size:1,"3.6"" x 4"" (2.6"" x 3"" pad) 40 Pcs",26.00,,,1
34,Quantity and Size:1,"3.6"" x 4"" (2.6"" x 3"" pad)  10 pc",9.75,,,1
34,Quantity and Size:1,"3.6"" x 6"" (2.6"" x 5"" pad) 40 Pcs",48.15,,,1
34,Quantity and Size:1,"3.6"" x 6"" (2.6"" x 5"" pad)  10 pc.",18.06,,,1
35,Quantity and Size:1,"4"" X 4""  25 Pcs",41.65,,1,1
35,Quantity and Size:1,"6"" x 6""  25 Pcs",44.28,,,1
38,Quantity and Size:1,Nude  Class II (3040 mmHg),72.00,,1,1
38,Quantity and Size:1,Black  Class II (3040 mmHg),72.00,,,1
38,Quantity and Size:1,Nude  Class III (4050 mmHg),92.00,, ,1
38,Quantity and Size:1,Black  Class III (4050 mmHg),92.00,,,1
39,Quantity and Size:1,Case of 8,78.00,,1,1
40,Quantity and Size:1,"4"" x 4""  each 2 pkg.",0.86,,1,1
40,Quantity and Size:1,"4"" x 4""  25/2pkg.",14.25,,,1
40,Quantity and Size:1,"Tub of 10  12ply 4"" x 4""  each",1.80,,,1
41,Quantity and Size:1,"4"" x 4"" Sterile 50 Pcs",2.30,,,1
41,Quantity and Size:1,"4"" x 4"" Sterile  2 Pcs",0.14,,1,1
42,Quantity and Size:1,"3"" x 3""  5 Pcs",19.40,,1,1
42,Quantity and Size:1,"4"" x 4""  5 Pcs",23.98,,,1
43,Quantity and Size:1,"1.6"" x 2""  10 Pcs",28.00,,1,1
44,Quantity and Size:1,"4"" x 4""  10 Pcs",25.38,,,1
44,Quantity and Size:1,"4"" x 4""  each",3.80,,1,1
44,Quantity and Size:1,"6"" x 6""  10 Pcs",46.98,,,1
44,Quantity and Size:1,"6"" x 6""  each",7.05,,,1
45,Quantity and Size:1,"2"" x 2"" Film Dot Foam  20 Pcs",36.22,,1,1
45,Quantity and Size:1,"2"" x 3"" Silver Oval  20 Pcs",74.20,,,1
46,Quantity and Size:1,"6"" x 6""  10 Pcs",101.25,,,1
46,Quantity and Size:1,"6"" x 6""  each",15.19,,1,1
47,Quantity and Size:1,"2"" x 2""  5 Pcs",33.90,,,1
47,Quantity and Size:1,"2"" x 2""  each",10.00,,1,1
47,Quantity and Size:1,"4"" x 5""  5 Pcs",74.85,,,1
47,Quantity and Size:1,"4"" x 5""  each",22.46,,,1
48,Quantity and Size:1,"4.25"" x 4.25""  15 Pcs",177.60,, ,1
48,Quantity and Size:1,"4.25"" x 4.25""  each",17.76,,1,1
49,Quantity and Size:1,"2"" x 3"" Oval ",9.56,,1,1
49,Quantity and Size:1,"2"" x 3"" Oval  20 Pcs",127.50,,,1
50,Quantity and Size:1,"2"" x 2""  10 Pcs",53.20,,,1
50,Quantity and Size:1,"2"" x 2""  each",7.98,,1,1
50,Quantity and Size:1,"4"" x 4""  10 Pcs",75.90,,,1
50,Quantity and Size:1,"4"" x 4""  each",11.39,,,1
50,Quantity and Size:1,"6"" x 6""  10 Pcs",161.70,,,1
50,Quantity and Size:1,"6"" x 6""  each",24.25,,,1
51,Quantity and Size:1,10 Pcs,48.50,,1,1
52,Quantity and Size:1,"4"" x 4""  5 Pcs",28.80,,1,1
53,Quantity and Size:1,"2.4"" x 3.4""  5 Pcs",21.20,,1,1
54,Quantity and Size:1,"6"" x 8""  5 Pcs",64.80,,,1
54,Quantity and Size:1,"6"" x 8""  each",19.44,,1,1
55,Quantity and Size:1,"4"" x 4""  10 Pcs",45.00,,,1
55,Quantity and Size:1,"4"" x 4""  each",6.75,,1,1
55,Quantity and Size:1,"6"" x 6""  10 Pcs",78.00,,,1
55,Quantity and Size:1,"6"" x 6""  each",11.70,,,1
56,Quantity and Size:1,"2"" x 2"" Sheet  10 Pcs",38.00,,,1
56,Quantity and Size:1,"2"" x 2"" Sheet  each",5.70,,1,1
56,Quantity and Size:1,"4"" x 4"" Sheet  10 Pcs",49.75,,,1
56,Quantity and Size:1,"4"" x 4"" Sheet  each",7.46,,,1
56,Quantity and Size:1,"4"" x 8"" Sheet  5 Pcs",51.85,,,1
56,Quantity and Size:1,"4"" x 8"" Sheet  each",15.55,,,1
56,Quantity and Size:1,"4"" x 24"" Roll  1 Pcs",32.00,,,1
